Elevation,RFS_Azimuth,RFS_Range,RangeError_BT_2_and_10,Height_Metres,MSID,RangeStdDev BT_2_and_10
4.916606993,96.17431641,18.18359375,18.549813,4025.984026,x7C1464,10.73546212
5.018131904,94.72412109,18.75,11.17532118,4183.38,x7C1464,10.73546212
5.063105241,94.02099609,19.0390625,22.72839629,4259.58,x7C1464,10.73546212
5.126041792,90.71960449,20.546875,13.44089142,4564.38,x7C1464,10.73546212
5.143822717,90.10986328,20.8671875,12.25996605,4632.96,x7C1464,10.73546212
5.201284325,88.9453125,21.5,21.45275898,4784.015013,x7C1464,10.73546212
5.202328387,87.82470703,22.15625,23.70487917,4902.34282,x7C1464,10.73546212
5.169684714,87.27539063,22.4921875,34.37088601,4938.108476,x7C1464,10.73546212
5.178215561,86.74255371,22.828125,15.14403551,5006.34,x7C1464,10.73546212
5.186017713,85.71533203,23.51953125,19.86289393,5135.88,x7C1464,10.73546212
5.279077864,78.82141113,29.75390625,17.43450178,6357.169292,x7C1464,10.73546212
5.285123158,78.49731445,30.13671875,19.77403897,6434.119644,x7C1464,10.73546212
5.313551277,76.99768066,32.05859375,37.36952665,6821.27603,x7C1464,10.73546212
5.311000196,76.46484375,32.82421875,21.90942207,6964.68,x7C1464,10.73546212
5.261761715,75.94299316,33.6015625,45.0219107,7056.144169,x7C1464,10.73546212
5.276158775,75.70129395,33.98828125,14.71927658,7147.581152,x7C1464,10.73546212
5.282143739,75.22338867,34.76171875,16.42620203,7299.96,x7C1464,10.73546212
5.126026236,73.24035645,38.34765625,26.21937286,7787.64,x7C1464,10.73546212
5.104975512,73.05358887,38.75390625,22.85283562,7837.307916,x7C1464,10.73546212
5.040101153,72.11425781,40.8046875,15.85315676,8134.269224,x7C1464,10.73546212
4.675289807,69.34020996,48.40625,12.52225042,8983.98,x7C1464,10.73546212
4.634235233,69.07653809,49.2734375,13.87381393,9072.25008,x7C1464,10.73546212
4.616744481,68.95019531,49.71484375,22.84526271,9121.117498,x7C1464,10.73546212
4.542012212,68.57116699,51.03515625,15.92171381,9231.334584,x7C1464,10.73546212
4.43520796,67.66479492,54.5703125,23.55787074,9661.073685,x7C1464,10.73546212
4.380202355,67.37365723,55.89453125,26.06684023,9790.567174,x7C1464,10.73546212
4.33598559,67.17041016,56.77734375,18.81455544,9861.844769,x7C1464,10.73546212
4.279141242,66.89025879,58.109375,12.15164262,9983.476755,x7C1464,10.73546212
4.232785844,66.70349121,59.00390625,18.08660246,10046.46546,x7C1464,10.73546212
4.082896357,66.11022949,62.15625,18.22992851,10279.38,x7C1464,10.73546212
4.038838989,65.93444824,63.0703125,25.78060112,10340.34,x7C1464,10.73546212
3.910684499,65.46203613,65.82421875,20.293475,10523.22,x7C1464,10.73546212
3.866553763,65.31921387,66.75,28.79925718,10577.34386,x7C1464,10.73546212
3.703907241,64.77539063,70.484375,12.9539674,10812.78,x7C1464,10.73546212
2.767024121,62.05078125,96.85546875,27.79164707,12222.48,x7C1464,10.73546212
Elevation,RFS_Azimuth,RFS_Range,RangeError_BT_2_and_10,Height_Metres,MSID,RangeStdDev BT_2_and_10
4.333187294,15.69946289,36.09375,16.3831204,6451.50965,x7C1468,15.28912376
4.355921036,15.83129883,35.62109375,31.12841355,6401.095603,x7C1468,15.28912376
4.392159427,16.12243652,34.6796875,34.97089893,6291.077851,x7C1468,15.28912376
4.424638401,16.39160156,33.73828125,23.68656635,6176.566712,x7C1468,15.28912376
4.458904415,16.5234375,33.2734375,18.79730492,6138.939938,x7C1468,15.28912376
4.476994128,16.69921875,32.8125,22.97586894,6083.161205,x7C1468,15.28912376
4.49371814,16.84753418,32.3515625,24.56761265,6025.762498,x7C1468,15.28912376
4.518878235,17.00134277,31.89453125,27.88221551,5977.123821,x7C1468,15.28912376
4.5493732,17.17712402,31.4375,16.88491949,5934.516402,x7C1468,15.28912376
4.580261042,17.33093262,30.984375,27.3429791,5890.26,x7C1468,15.28912376
4.587061031,17.52868652,30.52734375,22.37667991,5822.26854,x7C1468,15.28912376
4.621111963,17.68798828,30.078125,23.81683884,5781.282123,x7C1468,15.28912376
4.674894844,18.04504395,29.1875,26.79203388,5684.52,x7C1468,15.28912376
4.723458201,18.44604492,28.296875,19.50582719,5581.269141,x7C1468,15.28912376
4.779322197,18.85803223,27.421875,27.18730978,5483.378405,x7C1468,15.28912376
4.799852092,19.07226563,26.984375,26.08480012,5427.428423,x7C1468,15.28912376
4.828750333,19.30847168,26.55078125,28.03091396,5378.534026,x7C1468,15.28912376
4.868720837,19.50073242,26.1171875,23.64705574,5338.818107,x7C1468,15.28912376
4.895371053,19.74243164,25.68359375,21.90319663,5286.839583,x7C1468,15.28912376
4.924360343,19.9786377,25.25390625,19.96987751,5236.809942,x7C1468,15.28912376
4.957077712,20.22033691,24.828125,23.50994725,5189.22,x7C1468,15.28912376
4.983929288,20.48950195,24.40234375,25.35371209,5136.382192,x7C1468,15.28912376
5.026812395,20.75866699,23.98046875,28.24470661,5095.850041,x7C1468,15.28912376
5.046959326,21.02233887,23.55859375,33.25034239,5036.82,x7C1468,15.28912376
5.09207102,21.29699707,23.1328125,20.03550338,4996.952839,x7C1468,15.28912376
5.112335593,21.59912109,22.71484375,21.83506878,4937.76,x7C1468,15.28912376
5.151706713,21.88476563,22.296875,21.27791663,4892.04,x7C1468,15.28912376
5.202900134,22.2088623,21.8828125,22.95454243,4854.155923,x7C1468,15.28912376
5.227515379,22.53295898,21.46875,23.18477172,4796.790886,x7C1468,15.28912376
5.44444936,24.38415527,19.421875,24.2993703,4564.38,x7C1468,15.28912376
5.487874268,24.77966309,19.01171875,23.2270023,4514.741512,x7C1468,15.28912376
5.521300273,25.20812988,18.59765625,18.56605959,4457.7,x7C1468,15.28912376
5.578485196,25.66955566,18.18359375,18.08827948,4413.320201,x7C1468,15.28912376
5.632388577,26.13647461,17.7734375,18.7791767,4366.26,x7C1468,15.28912376
5.681398874,26.65283203,17.3671875,26.18751607,4315.188334,x7C1468,15.28912376
5.778496072,27.16918945,16.9609375,24.5077172,4290.06,x7C1468,15.28912376
5.868140588,27.6965332,16.56640625,32.28440661,4259.829157,x7C1468,15.28912376
5.959116765,28.29528809,16.16796875,23.32969282,4229.1,x7C1468,15.28912376
6.053414297,28.87756348,15.77734375,21.63263463,4198.62,x7C1468,15.28912376
6.224099085,31.31652832,14.6875,19.11903071,4057.671744,x7C1468,15.28912376
6.246879311,32.37121582,14.36328125,19.68072426,4000.5,x7C1468,15.28912376
6.345650744,36.12304688,13.4921875,19.94763634,3861.222832,x7C1468,15.28912376
6.40460986,40.39123535,12.703125,16.1494578,3718.666947,x7C1468,15.28912376
6.421820009,41.9128418,12.45703125,18.02311049,3672.84,x7C1468,15.28912376
6.798071896,49.76257324,11.1484375,18.14022267,3528.06,x7C1468,15.28912376
6.912142172,51.39404297,10.87109375,19.6352029,3505.2,x7C1468,15.28912376
7.150415942,54.90966797,10.32421875,16.19352567,3459.48,x7C1468,15.28912376
7.713820239,65.47302246,9.19921875,17.93481861,3359.976863,x7C1468,15.28912376
Elevation,RFS_Azimuth,RFS_Range,RangeError_BT_2_and_10,Height_Metres,MSID,RangeStdDev BT_2_and_10
2.273125425,114.5654297,16.07421875,47.90327874,2301.24,x7C29D4,31.11970679
2.319326415,113.4503174,16.08984375,58.78853306,2325.98841,x7C29D4,31.11970679
2.518905215,112.3516846,16.1015625,53.290434,2430.78,x7C29D4,31.11970679
2.617318128,111.2200928,16.125,51.31703175,2484.12,x7C29D4,31.11970679
2.743326606,110.0830078,16.15234375,42.73755445,2552.7,x7C29D4,31.11970679
2.867409919,108.9898682,16.1875,34.91061642,2621.28,x7C29D4,31.11970679
2.95467168,107.8637695,16.234375,42.64966052,2671.253405,x7C29D4,31.11970679
3.077889178,106.7486572,16.28125,33.72906238,2741.296024,x7C29D4,31.11970679
3.385358548,103.4307861,16.47265625,40.7464491,2924.759347,x7C29D4,31.11970679
3.659951835,100.1843262,16.79296875,40.82850613,3111.112135,x7C29D4,31.11970679
3.904861969,94.16381836,17.796875,65.80765558,3377.531183,x7C29D4,31.11970679
4.150570259,87.62695313,19.328125,45.20993967,3740.146991,x7C29D4,31.11970679
4.183570354,86.78649902,19.57421875,66.96542629,3794.76,x7C29D4,31.11970679
4.408036527,83.54003906,20.5859375,48.07303774,4092.433812,x7C29D4,31.11970679
4.449030715,82.77648926,20.84375,35.42557478,4160.52,x7C29D4,31.11970679
4.509008149,82.0513916,21.109375,31.44936538,4242.724826,x7C29D4,31.11970679
4.598214478,72.6965332,25.51953125,32.60777199,5012.719127,x7C29D4,31.11970679
4.587247264,71.18591309,26.49609375,55.15421808,5159.910149,x7C29D4,31.11970679
4.601378059,70.65856934,26.828125,40.08580211,5227.32,x7C29D4,31.11970679
4.600274866,70.18615723,27.1640625,45.04733552,5280.66,x7C29D4,31.11970679
4.595530886,69.26879883,27.84375,44.86103109,5387.34,x7C29D4,31.11970679
